Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
38;14150;Molecular and Cellular Biology;journal;02707306, 10985549;10,319;Q1;318;852;2284;49084;22114;2246;9,75;57,61;United States;Northern America;American Society for Microbiology;1981-2020;"Cell Biology (Q1); Molecular Biology (Q1)"
39;12286;Surface Science Reports;journal;01675729, 1879274X;10,217;Q1;111;11;38;3337;457;38;12,04;303,36;Netherlands;Western Europe;Elsevier;1981-2020;"Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)"
40;19939;Trends in Neurosciences;journal;03785912, 01662236, 1878108X;10,131;Q1;281;116;370;5308;4484;288;13,95;45,76;Netherlands;Western Europe;Elsevier Ltd.;1978-2020;Neuroscience (miscellaneous) (Q1)
41;12000154482;Annual Review of Biophysics;journal;19361238, 1936122X;9,725;Q1;153;15;56;1732;647;55;12,1;115,47;United States;Northern America;Annual Reviews Inc.;2008-2019;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
42;24379;Journal of Financial Economics;journal;0304405X;9,621;Q1;240;55;152;1804;586;152;3,62;32,8;Netherlands;Western Europe;Elsevier;1974-2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
43;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;9,589;Q1;138;13;53;0;846;53;15,78;0;United States;Northern America;Centers for Disease Control and Prevention (CDC);1990-2020;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
44;17500;Journal of Finance;journal;00221082, 15406261;9,553;Q1;285;77;228;2716;1013;228;4,08;35,27;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1946-2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
45;19049;Trends in Genetics;journal;01689525, 13624555;9,388;Q1;216;158;440;4147;3515;323;11,26;26,25;Netherlands;Western Europe;Elsevier Ltd.;1985-2020;Genetics (Q1)
46;15537;Current Biology;journal;18790445, 09609822;9,228;Q1;303;592;1215;10792;9053;1166;8,05;18,23;United States;Northern America;Cell Press;1991-2020;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
47;80280;Biochimica et Biophysica Acta - Reviews on Cancer;journal;0304419X;9,146;Q1;132;34;119;965;1314;113;10,31;28,38;Netherlands;Western Europe;Elsevier;1974-2020;"Cancer Research (Q1); Genetics (Q1); Oncology (Q1)"
